PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN
1628374,Lauri Markkanen,UTA,33,36.0
1641718,Keyonte George,UTA,43,34.4
1631117,Walker Kessler,UTA,5,30.8
203994,Jusuf Nurkić,UTA,34,26.1
1629004,Svi Mykhailiuk,UTA,37,24.5
1642846,Ace Bailey,UTA,37,24.3
1642268,Isaiah Collier,UTA,36,23.2
1642271,Kyle Filipowski,UTA,43,22.5
1641729,Brice Sensabaugh,UTA,41,20.9
203937,Kyle Anderson,UTA,16,20.0
1642383,Walter Clayton Jr.,UTA,39,18.3
201567,Kevin Love,UTA,24,17.5
1642262,Cody Williams,UTA,31,17.2
1641707,Taylor Hendricks,UTA,31,15.0
1642273,Kyshawn George,WAS,33,31.2
1642267,Bub Carrington,WAS,42,28.3
1629027,Trae Young,WAS,10,28.0
1642259,Alex Sarr,WAS,33,27.8
1641731,Bilal Coulibaly,WAS,25,26.6
1642848,Tre Johnson,WAS,35,24.7
203114,Khris Middleton,WAS,29,24.3
1628963,Marvin Bagley III,WAS,36,19.3
1630551,Justin Champagnie,WAS,40,18.5
1641715,Cam Whitmore,WAS,21,16.9
1642860,Will Riley,WAS,34,13.8
1642364,Jamir Watkins,WAS,17,13.4
1641774,Tristan Vukcevic,WAS,30,11.4
